Trial_ID,Vocabulary_Type,Vocabulary_Size,Trainable_Parameters,Data_Augmentation,Epoch,Avg_Train_Loss,Avg_Val_Loss,BLEU_1,BLEU_2,BLEU_3,BLEU_4,Best_BLEU_4_Trial,Epoch_Best_BLEU_4,Total_Epochs_Run,Stopping_Reason,Avg_Train_Time_Per_Epoch_s,Avg_Val_Time_Per_Epoch_s
1,Custom,8301,39073198,No,1,5.4038,4.7633,0.1299,0.0566,0.0232,0.0094,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,2,4.5336,4.3182,0.2330,0.1138,0.0569,0.0297,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,3,4.1217,4.0631,0.2477,0.1252,0.0669,0.0370,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,4,3.8342,3.8933,0.2617,0.1334,0.0727,0.0414,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,5,3.6074,3.7815,0.2609,0.1347,0.0748,0.0433,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,6,3.4225,3.6956,0.2631,0.1365,0.0763,0.0446,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,7,3.2659,3.6352,0.2676,0.1396,0.0782,0.0459,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,8,3.1217,3.5844,0.2670,0.1386,0.0772,0.0455,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,9,2.9916,3.5527,0.2674,0.1409,0.0802,0.0484,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,10,2.8731,3.5208,0.2667,0.1385,0.0776,0.0458,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,11,2.7638,3.5058,0.2733,0.1418,0.0786,0.0459,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,12,2.6628,3.4902,0.2694,0.1415,0.0801,0.0482,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,13,2.4869,3.4866,0.2699,0.1413,0.0802,0.0481,0.0484,9,14,Early Stopping,450,169
1,Custom,8301,39073198,No,14,2.4430,3.4892,0.2716,0.1416,0.0801,0.0477,0.0484,9,14,Early Stopping,450,169
2,Custom,8301,41174446,No,1,5.5537,4.9032,0.2148,0.0799,0.0280,0.0082,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,2,4.6814,4.4237,0.2483,0.1201,0.0600,0.0294,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,3,4.2551,4.1388,0.2418,0.1232,0.0684,0.0384,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,4,3.9617,3.9520,0.2550,0.1334,0.0761,0.0444,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,5,3.7411,3.8197,0.2628,0.1372,0.0798,0.0480,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,6,3.5667,3.7275,0.2618,0.1388,0.0817,0.0496,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,7,3.4183,3.6564,0.2590,0.1389,0.0819,0.0500,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,8,3.2906,3.5924,0.2639,0.1408,0.0838,0.0517,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,9,3.1788,3.5505,0.2605,0.1393,0.0822,0.0498,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,10,3.0746,3.5160,0.2660,0.1430,0.0855,0.0533,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,11,2.9800,3.4901,0.2662,0.1440,0.0858,0.0531,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,12,2.8911,3.4747,0.2676,0.1438,0.0851,0.0527,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,13,2.8086,3.4569,0.2669,0.1440,0.0863,0.0535,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,14,2.7284,3.4441,0.2665,0.1436,0.0854,0.0529,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,15,2.6532,3.4265,0.2616,0.1397,0.0833,0.0517,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,16,2.5828,3.4226,0.2684,0.1436,0.0854,0.0529,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,17,2.4328,3.4210,0.2689,0.1447,0.0865,0.0539,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,18,2.3931,3.4259,0.2666,0.1429,0.0852,0.0532,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,19,2.3700,3.4320,0.2674,0.1425,0.0843,0.0524,0.0547,20,20,Finished all epochs,472,227
2,Custom,8301,41174446,No,20,2.3488,3.4374,0.2693,0.1451,0.0869,0.0547,0.0547,20,20,Finished all epochs,472,227
3,SentencePiece,8000,57981312,No,1,4.3245,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,2,3.4093,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,3,3.0402,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,4,2.7720,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,5,2.5559,3.1587,0.3113,0.2056,0.1167,0.0717,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,6,2.3618,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,7,2.1817,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,8,2.0176,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,9,1.8622,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,10,1.7168,3.2915,0.3146,0.2036,0.1148,0.0699,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,11,1.5835,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,12,1.4595,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,13,1.3512,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,14,1.2525,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,15,1.1690,3.5561,0.3071,0.1997,0.1094,0.0648,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,16,1.0950,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,17,1.0319,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,18,0.9787,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,19,0.9285,,,,0.0717,5,20,Finished all epochs,311,3339
3,SentencePiece,8000,57981312,No,20,0.8859,3.7497,0.3056,0.1953,0.1048,0.0605,0.0717,5,20,Finished all epochs,311,3339
4,SentencePiece,8000,112991872,No,1,4.8687,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,2,4.1258,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,3,3.8146,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,4,3.5893,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,5,3.3982,3.9435,0.3235,0.2113,0.1183,0.0713,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,6,3.2310,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,7,3.0794,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,8,2.9394,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,9,2.8069,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,10,2.6897,4.0485,0.3158,0.2030,0.1136,0.0669,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,11,2.5787,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,12,2.4790,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,13,2.3925,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,14,2.3140,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,15,2.2486,4.2464,0.3138,0.2003,0.1098,0.0646,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,16,2.1895,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,17,2.1377,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,18,2.0952,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,19,2.0612,,,,0.0713,5,20,Finished all epochs,321,1738
4,SentencePiece,8000,112991872,No,20,2.0304,4.3514,0.3124,0.2009,0.1100,0.0639,0.0713,5,20,Finished all epochs,321,1738
5,SentencePiece,8000,57981312,Yes,1,5.0352,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,2,4.3029,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,3,4.0253,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,4,3.8292,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,5,3.6752,3.9696,0.3140,0.2060,0.1176,0.0725,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,6,3.5404,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,7,3.4205,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,8,3.3118,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,9,3.2108,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,10,3.1158,3.9627,0.3100,0.2016,0.1156,0.0714,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,11,3.0268,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,12,2.9406,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,13,2.8602,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,14,2.7841,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,15,2.7116,4.0626,0.3150,0.2042,0.1123,0.0665,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,16,2.6446,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,17,2.5819,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,18,2.5248,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,19,2.4668,,,,0.0725,5,20,Finished all epochs,331,2995
5,SentencePiece,8000,57981312,Yes,20,2.4171,4.1920,0.2989,0.1922,0.1048,0.0621,0.0725,5,20,Finished all epochs,331,2995